match_set,score_set,brand_set
COMARCA DE BAJO ARAGÓN,100,ARAGÓN
PALMA DEL RÍO,100,PALMA
PALMA,100,"CABILDO INSULAR DE LA PALMA, FUENCALIENTE DE LA PALMA"
COMARCA DE COMUNIDAD DE CALATAYUD,100,CALATAYUD
COMARCA DE SOMONTANO DE BARBASTRO,100,BARBASTRO
PALENCIA,100,DIPUTACIÓN PROV. DE PALENCIA
PADERNE DE ALLARIZ,100,PADERNE
OURENSE,100,DIPUTACIÓN PROV. DE OURENSE
"OLIVA, LA",100,"OLIVA, OLIVA DE LA FRONTERA"
OLIVA DE LA FRONTERA,100,OLIVA
OLESA DE MONTSERRAT,100,MONTSERRAT
CONSELL COMARCAL DE CONCA DE BARBERÀ,100,CONSELL
MÁLAGA,100,DIPUTACIÓN PROV. DE MÁLAGA
CONSELL COMARCAL DE GARROTXA,100,CONSELL
MURO DE ALCOY,100,MURO
MURCIA,100,ALHAMA DE MURCIA
MORÓN DE LA FRONTERA,100,FRONTERA
MORELLA,100,"MATA DE MORELLA, LA"
MORALZARZAL,100,"MANCOMUNIDAD DE SERVICIOS SOCIALES DE TORRELODONES, HOYO DE MANZANARES, ALPEDRETE Y MORALZARZAL (T.H.A.M.)"
CONSELL COMARCAL DE OSONA,100,CONSELL
MONTSERRAT,100,MONISTROL DE MONTSERRAT
MONTALBÁN DE CÓRDOBA,100,CÓRDOBA
MONDARIZ-BALNEARIO,100,MONDARIZ
CONSELL COMARCAL DE SOLSONÈS,100,CONSELL
MOLINA DE ARAGÓN,100,ARAGÓN
"PALMA DE CERVELLÓ, LA",100,PALMA
COMARCA DE CAMPO DE CARIÑENA,100,CARIÑENA
QUART DE POBLET,100,QUART
PALMERA,100,FUENTE PALMERA
CASTELLÓ,100,"CASTELL-PLATJA D'ARO, CASTELL, ES, CASTELL DE CABRES"
CASTELLÓ D'EMPÚRIES,100,CASTELLÓ
PRIEGO DE CÓRDOBA,100,CÓRDOBA
CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA,100,CASTELLÓ
POZO DE GUADALAJARA,100,GUADALAJARA
PORTILLO,100,"PEDRAJA DE PORTILLO, LA"
PONTEVEDRA,100,DIPUTACIÓN PROV. DE PONTEVEDRA
POLOP,100,"MANCOMUNIDAD DE SERVICIOS SOCIALES Y DE CARÁCTER CULTURAL DE CALLOSA D'EN SARRIÀ, POLOP, TÀRBENA, BOLULLA, BENIMANTELL, CONFRIDES, EL CASTELL DE GUADALEST, BENIFATO Y BENIARDÁ"
POLINYÀ DE XÚQUER,100,POLINYÀ
CAUDETE DE LAS FUENTES,100,CAUDETE
CERVERA DE PISUERGA,100,CERVERA
PLASENCIA,100,MALPARTIDA DE PLASENCIA
CHINCHILLA DE MONTE-ARAGÓN,100,ARAGÓN
PEÑAFLOR DE HORNIJA,100,PEÑAFLOR
PERALADA,100,MOLLET DE PERALADA
COMARCA DE ANDORRA-SIERRA DE ARCOS,100,ANDORRA
GÜÉJAR SIERRA,100,GÓJAR
COMARCA DE BAJO ARAGÓN-CASPE/BAIX ARAGÓ-CASP,100,"CASPE, COMARCA DE BAJO ARAGÓN"
PAÜLS,100,PALS
PATERNA DEL CAMPO,100,PATERNA
COMARCA DE CAMPO DE BELCHITE,100,BELCHITE
PALOS DE LA FRONTERA,100,FRONTERA
COMARCA DE CAMPO DE BORJA,100,BORJA
MIÑO,100,CASTRELO DE MIÑO
MANZANARES EL REAL,100,MANZANARES
MANZANARES,100,HOYO DE MANZANARES
MANCOMUNIDADE DE CONCELLOS DA COMARCA DE FERROL,100,FERROL
"MANCOMUNIDAD ""CAMPOS GÓTICOS""",100,CAMPOS
"MANCOMUNIDAD ""BAHÍA DE CÁDIZ""",100,CÁDIZ
MALPARTIDA DE CÁCERES,100,CÁCERES
MADRID,100,"COMUNIDAD DE MADRID, HUMANES DE MADRID"
EIVISSA,100,CONSELL INSULAR D’EIVISSA
LUGO,100,DIPUTACIÓN PROV. DE LUGO
LLEIDA,100,DIPUTACIÓN PROV. DE LLEIDA
LEÓN,100,"CASTILLA Y LEÓN, DIPUTACIÓN PROV. DE LEÓN"
FORMENTERA DEL SEGURA,100,FORMENTERA
FRONTERA,100,"CHICLANA DE LA FRONTERA, AGUILAR DE LA FRONTERA, CONIL DE LA FRONTERA"
JAÉN,100,DIPUTACIÓN PROV. DE JAÉN
FUENLABRADA DE LOS MONTES,100,FUENLABRADA
FUENTES DE AYÓDAR,100,AYÓDAR
HUÉRCAL DE ALMERÍA,100,ALMERÍA
HUMANES DE MADRID,100,HUMANES
HUESCA,100,"DIPUTACIÓN PROV. DE HUESCA, COMARCA DE HOYA DE HUESCA/PLANA DE UESCA"
HUELVA,100,DIPUTACIÓN PROV. DE HUELVA
GIRONA,100,DIPUTACIÓN PROV. DE GIRONA
HERRERA DEL DUQUE,100,HERRERA
"GRADO, EL",100,GRADO
GRANADA,100,DIPUTACIÓN PROV. DE GRANADA
"GRANADA, LA",100,GRANADA
HERRERA DE PISUERGA,100,HERRERA
"MANCOMUNIDAD DE CONCEJOS DE CANGAS DE ONÍS, AMIEVA, ONÍS Y PONGA",100,CANGAS
MANCOMUNIDAD DE LA MERINDAD DE DURANGO,100,DURANGO
MANCOMUNIDAD DE SERVICIOS DEL SUROESTE DE MADRID,100,MADRID
DIPUTACIÓN PROV. DE A CORUÑA,100,"CORUÑA, A"
MANCOMUNIDAD INTERMUNICIPAL DE SERVICIOS SOCIALES DEL ESTE DE MADRID (MISSEM),100,MADRID
CONSELL INSULAR D’EIVISSA,100,CONSELL
CONSORCIO DE GESTIÓN DE SERVICIOS MEDIOAMBIENTALES - BADAJOZ,100,BADAJOZ
CONSORCIO DEL SECTOR II DE LA PROVINCIA DE ALMERÍA PARA LA GESTIÓN DE RESIDUOS,100,ALMERÍA
"MANCOMUNIDAD DEPORTIVA ARAITZ, ARESO, BETELU, LARRAUN, LEKUNBERRI",100,LEKUNBERRI
CORIA DEL RÍO,100,CORIA
"MANCOMUNIDAD DE SERVICIOS SOCIALES Y DE CARÁCTER CULTURAL DE CALLOSA D'EN SARRIÀ, POLOP, TÀRBENA, BOLULLA, BENIMANTELL, CONFRIDES, EL CASTELL DE GUADALEST, BENIFATO Y BENIARDÁ",100,"BOLULLA, CALLOSA D'EN SARRIÀ, BENIARDÁ"
CUÉLLAR,100,COMUNIDAD DE VILLA Y TIERRA ANTIGUA DE CUÉLLAR
CÁCERES,100,CASAR DE CÁCERES
DAROCA,100,COMARCA DE CAMPO DE DAROCA
DIPUTACIÓN PROV. DE ALBACETE,100,ALBACETE
DIPUTACIÓN PROV. DE CÓRDOBA,100,CÓRDOBA
"MANCOMUNIDAD DE SERVICIOS SOCIALES DE TORRELODONES, HOYO DE MANZANARES, ALPEDRETE Y MORALZARZAL (T.H.A.M.)",100,"ALPEDRETE, HOYO DE MANZANARES"
DIPUTACIÓN PROV. DE ALMERÍA,100,ALMERÍA
DIPUTACIÓN PROV. DE BADAJOZ,100,BADAJOZ
DIPUTACIÓN PROV. DE BARCELONA,100,BARCELONA
DIPUTACIÓN PROV. DE BURGOS,100,BURGOS
DIPUTACIÓN PROV. DE CIUDAD REAL,100,CIUDAD REAL
DIPUTACIÓN PROV. DE CUENCA,100,CUENCA
DIPUTACIÓN PROV. DE CÁCERES,100,CÁCERES
"MANCOMUNIDAD DE SERVICIOS SOCIALES DE BASE DE ANSOßIN, BERRIOPLANO, BERRIOZAR, IZA Y JUSLAPE±A",100,BERRIOZAR
DIPUTACIÓN PROV. DE CÁDIZ,100,CÁDIZ
QUART DE LES VALLS,100,QUART
GUADALAJARA,100,DIPUTACIÓN PROV. DE GUADALAJARA
REGIÓN DE MURCIA,100,MURCIA
TORRELODONES,100,"MANCOMUNIDAD DE SERVICIOS SOCIALES DE TORRELODONES, HOYO DE MANZANARES, ALPEDRETE Y MORALZARZAL (T.H.A.M.)"
