brand_sort,score_sort,match_sort
PALS,100,PAÜLS
AGUAVIVA,94,AIGUAVIVA
BENISSA,93,BENISSANÓ
ALFAFAR,93,ALFAFARA
CONSELL COMARCAL DE VALLÈS OCCIDENTAL,93,CONSELL COMARCAL DEL VALLÈS ORIENTAL
BRUNYOLA,93,BUNYOLA
HERRERA,93,HERRERÍAS
CABANES,93,CABRANES
CABRILS,93,CAMBRILS
CONSELL COMARCAL DE GARRAF,93,CONSELL COMARCAL DE GARROTXA
COMARCA RIBERA ALTA DEL EBRO,93,COMARCA RIBERA BAJA DEL EBRO
DIPUTACIÓN PROV. DE SEGOVIA,92,"DIPUTACIÓN PROV. DE SORIA, DIPUTACIÓN PROV. DE SEVILLA"
ALMERÍA,92,PALMERA
CONSELL COMARCAL DE OSONA,92,CONSELL COMARCAL DE SOLSONÈS
CONSELL COMARCAL DE ALT PENEDÈS,92,CONSELL COMARCAL DE BAIX PENEDÈS
CONSELL COMARCAL DE ALT EMPORDÀ,92,CONSELL COMARCAL DE BAIX EMPORDÀ
DIPUTACIÓN PROV. DE HUELVA,92,DIPUTACIÓN PROV. DE HUESCA
TORELLÓ,92,TORTELLÀ
LLORAC,91,ÍLLORA
DIPUTACIÓN PROV. DE TARRAGONA,91,DIPUTACIÓN PROV. DE ZARAGOZA
CELLA,91,CHELLA
CONSEJO INSULAR DE MALLORCA,91,CONSEJO INSULAR DE MENORCA
"PEDERNOSO, EL",91,"PEDROSO, EL"
COBEJA,91,COBEÑA
CARBONERAS,90,CARBONEROS
CANDELARIA,90,CANDELARIO
"PUEBLA DE CAZALLA, LA",90,PUEBLA DE LA CALZADA
DIPUTACIÓN PROV. DE JAÉN,90,DIPUTACIÓN PROV. DE LEÓN
FUENSALDAÑA,90,FUENSALIDA
DIPUTACIÓN PROV. DE GIRONA,90,DIPUTACIÓN PROV. DE GRANADA
CONSELL COMARCAL  DEL MOIANÈS,89,CONSELL COMARCAL DEL GIRONÈS
CAMAS,89,CAMÓS
BREDA,89,ÚBEDA
DIPUTACIÓN PROV. DE ALMERÍA,89,DIPUTACIÓN PROV. DE AVILA
BEUDA,89,ÚBEDA
BERA,89,"BÉTERA, BERJA, BERGA"
BENISSANET,89,BENISSANÓ
ABANILLA,89,CABANILLAS
DIPUTACIÓN PROV. DE LEÓN,89,"DIPUTACIÓN PROV. DE LLEIDA, DIPUTACIÓN PROV. DE PALENCIA"
DIPUTACIÓN PROV. DE LUGO,89,DIPUTACIÓN PROV. DE MÁLAGA
VILLAMARTÍN,89,VILLAMAÑÁN
VILLAMANTA,89,VILLAMAÑÁN
VILLALUENGA DE LA SAGRA,89,VILLALUENGA DE LA VEGA
VEDRA,89,VERA
TORO,89,TOURO
SORIA,89,SÚRIA
SILES,89,SILS
SANTA MARÍA DE CAYÓN,89,SANTA MARÍA DEL CAMÍ
PILOÑA,89,ÉPILA
PILAS,89,ÉPILA
PALENCIA,89,PALENCIANA
OTOS,89,OTROS
ONDA,89,RONDA
NAVA,89,NAVIA
MURO,89,MUROS
MONTERREI,89,MONTFERRI
MOAÑA,89,MORAÑA
LORCA,89,ÁLORA
JORBA,89,ORBA
GRISÉN,89,GRIÑÓN
"GRADO, EL",89,"GRANADO, EL"
BAEZA,89,BAZA
DIPUTACIÓN PROV. DE SORIA,89,DIPUTACIÓN PROV. DE ZAMORA
EJEA DE LOS CABALLEROS,89,JEREZ DE LOS CABALLEROS
ÁLORA,89,ÍLLORA
AGRES,89,ARES
AYORA,89,AÑORA
ALARÓ,89,"GALAR, SALAR"
ARIZA,89,ARZÚA
ASPE,89,CASPE
PALENCIA,88,VALENCIA
"LÍNEA DE LA CONCEPCIÓN, LA",88,"NAVAS DE LA CONCEPCIÓN, LAS"
DIPUTACIÓN PROV. DE SEVILLA,88,DIPUTACIÓN PROV. DE SORIA
MARACENA,88,MARCHENA
ABEGONDO,88,BERGONDO
MONT-ROIG DEL CAMP,88,MONTBRIÓ DEL CAMP
DIPUTACIÓN PROV. DE LLEIDA,88,DIPUTACIÓN PROV. DE PALENCIA
DIPUTACIÓN PROV. DE ZAMORA,88,DIPUTACIÓN PROV. DE ZARAGOZA
ALCAUDETE,88,CAUDETE
DIPUTACIÓN PROV. DE LEÓN,88,DIPUTACIÓN PROV. DE LUGO
